GraphRAG Ground Truth Dataset - COURSES AI,,,,,
x Bắt buộc điền | v Tuỳ chọn (để trống nếu không có) | Mỗi hàng = 1 test case,,,,,
 id, query, ground_truth_answer,Retrieval_chunk_ids,retrieval_context,x query_type
"VD: q001, q002",Câu hỏi thực tế,Đáp án chuẩn đầy đủ,ID các đoạn văn bản liên quan đến câu trả lời,Các đoạn văn bản liên quan,single_hop | multi_hop | global
q001,"Em thích tự kinh doanh, khởi nghiệp sau khi ra trường, em có thể chọn ngành nào ạ các ac ơi","Nếu bạn yêu thích việc mình có thể tự kinh doanh, khởi nghiệp sau khi ra trường, bạn nên cân nhắc các ngành sau tại NEU:
Quản trị kinh doanh
Khởi nghiệp và đổi mới sáng tạo
Kinh doanh quốc tế
Marketing
Thương mại điện tử","""71f6c29e-2897-4fd9-a105-f753ea71154e"",""b7d515e9-b2f6-4ab7-b20a-0f292ecda6bd"",""6ef3c349-4060-4f89-88d7-37f08f333d5e"", ""6ef3c349-4060-4f89-88d7-37f08f333d5e"""," ""U VÀ ĐỊNH VỊ 3.1. Phân đoạn thị trường và lựa chọn thị trường mục tiêu 3.2. Định vị | [1] Chương 3 | Giảng viên - Kiểm tra bài cũ lý thuyết chương 2; - Giảng lý thuyết theo nội dung Chương 3; - Giảng viên giảng và trao đổi với sinh viên những tình huống thực tế. Sinh viên - Đọc lại kiến thức chương trước; - Xem trước giáo trình, tài liệu học tập Chương 3. | (i) Mức độ tham gia ; (ii) Mức độ tương tác; (iii) Chất lượng câu trả lời ; (iv) Thái độ (tôn trọng giảng viên và bạn cùng lớp, tôn trọng các quy định lớp học) | CLO3.5 |\n| 6 | Seminar 3 Chọn một doanh nghiệp kinh doanh dịch vụ cụ thể, trình bày các hoạt động trọng tâm mà doanh nghiệp đã thực hiện để tiến hành định vị | [1] Chương 3 | Giả"",
    ""nhân và nghiệp chủ, tư chất nghiệp chủ thành công | 3 |\n| CG1 Kiến thức | CLO1.3 | Hiểu và nắm vững được những việc cần làm để chuẩn bị khởi nghiệp | 3 |\n| CG1 Kiến thức | CLO1.4 | Hiểu và nắm vững được các vấn đề cơ bản về cơ hội kinh doanh và hình thành, lựa chọn ý tưởng kinh doanh | 3 |\n| CG1 Kiến thức | CLO1.5 | Biết được nội dung, vai trò của kế hoạch kinh doanh và các công việc cần làm tạo lập doanh nghiệp mới | 3 |\n| CG2 Kỹ năng | CLO 2.1 | Sinh viên có kỹ năng làm việc độc lập, tính kỉ luật | 3 |\n| CG2 Kỹ năng | CLO 2.2 | Sinh viên có kỹ năng làm việc nhóm năng động và đa dạng | 3 |\n| CG2 Kỹ năng | CLO 2.3 | Sinh viên có kỹ năng giao tiếp thông qua bài tập nhóm và thuyết trình | 3 |"",
    ""là một học phần bắt buộc trong chương trình đào tạo ngành Kinh doanh Thương mại. Học phần này tập trung vào việc nghiên cứu và phân tích các hoạt động thực tiễn trong lĩnh vực thương mại. Sinh viên tham gia học phần sẽ có cơ hội lựa chọn và viết chuyên đề về một trong ba định hướng chuyên sâu sau:\n\nQuản trị kinh doanh thương mại: Nghiên cứu về cách tổ chức và quản lý các hoạt động kinh doanh thương mại trong doanh nghiệp, bao gồm lập kế hoạch, thực hiện và giám sát các chiến lược kinh doanh.\n\nThương mại quốc tế: Tìm hiểu về các hoạt động thương mại giữa các quốc gia, bao gồm quy trình xuất nhập khẩu, các hiệp định thương mại quốc tế, và các chiến lược thâm nhập thị trường nước ngoài.\n\nHải qu"",
    ""ầu tư kinh doanh nông nghiệp; nghiên cứu thị trường và phát hiện cơ hội đầu tư kinh doanh nông nghiệp; lựa chọn loại hình tổ chức kinh doanh, lựa chọn công nghệ, quy trình và phương pháp sản xuất- bảo quản và chế biến nông sản. dự toán vốn đầu tư, phân tích hiệu quả đầu tư và ra quyết định đầu tư kinh doanh nông nghiệp. Đồng thời sinh viên cũng được trang bị kiến thức và một số kỹ năng quản lý dự án và phòng ngừa rủi ro trong đầu tư kinh doanh nông nghiệp. Học phần kết hợp giữa giảng lý thuyết với thảo luận và làm bài tập thực hành.\n\n Học phần gồm các nội dung chính sau:\n\n - Tổng quan về dự án đầu tư kinh doanh nông nghiệp\n\n - Nghiên cứu thị trường và đánh giá cơ hội đầu tư kinh doanh""",multi_hop
q002,Em thấy mình có năng khiếu quản lý thì Ngành nào học nhiều về quản lý vậy anh chị,"Các ngành học có liên quan đến quản lý tại Đại học Kinh tế Quốc dân bao gồm:
Hệ thống thông tin quản lý (7340405): Ngành này tập trung vào việc quản lý thông tin và hệ thống thông tin trong tổ chức.
Quản lý đất đai (7850103): Ngành này chuyên về quản lý và sử dụng đất đai một cách hiệu quả.
Kinh tế và quản lý đô thị (7310101): Ngành này liên quan đến việc quản lý các vấn đề kinh tế và phát triển đô thị.
Mỗi ngành đều có những môn học đặc trưng và cơ hội nghề nghiệp riêng, giúp sinh viên phát triển kỹ năng quản lý trong các lĩnh vực khác nhau.","""1f0f4d35-3a30-44b3-b1ca-66ae2f5497f7"",
    ""878b5368-0082-4e2d-a8a5-48ded8e10316"",""03f57522-8f33-49f3-9280-ee5e660498ac"",
    ""f9fbdc2b-e031-4e19-a326-3dfe61c5cccc""","""quản trị nhân lực. Có khả năng phân tích và đánh giá một cách đầy đủ về tầm quan trọng và ảnh hưởng của chủ đề đối với tổ chức. Trình bày các ý kiến và phản biện một cách logic và có cơ sở, sử dụng một số tài liệu nghiên cứu và ví dụ để hỗ trợ. | Hiểu biết hạn chế về các khái niệm và lý thuyết trong lĩnh vực quản trị nhân lực. Phân tích và đánh giá một cách hạn chế về tầm quan trọng và ảnh hưởng của chủ đề đối với tổ chức. Trình bày ý kiến và phản biện không thể hiện được một cách logic và mạch lạc, thiếu sự hỗ trợ từ tài liệu và ví dụ cụ thể. | Hiểu biết không đủ về các khái niệm và lý thuyết trong lĩnh vực quản trị nhân lực. Không thể phân tích và đánh giá được về tầm quan trọng và ảnh hưở"",
    ""o vấn đề thực tiễn quan sát và và vận dụng các kiến thức chuyên ngành để giải quyết vấn đề đó | 3 |\n| CG2 Kỹ năng | CLO 2.1 | Lên kế hoạch và chủ động thực hiện báo cáo thực tế | 3 |\n| CG3 Kỹ năng | CLO 3.1 | Có khả năng nhận biết, giải quyết các quyết định trong quản trị hoạt động dịch vụ khách hàng; dự trữ; vận chuyển; kho bãi; bao gói và logistics ngược ở doanh nghiệp | 3 |\n| CG4 Kỹ năng | CLO 4.1 | Có kỹ năng khai thác và phân tích số liệu, thông tin | 3 |\n| CG5 Năng lực tự chủ, trách nhiệm | CLO 5.1 | Thể hiện được sự tự lực khi làm việc độc lập, thể hiện trách nhiệm cá nhân | 3 |\n| CG6 Năng lực tự chủ, trách nhiệm | CLO 6.1 | Thể hiện quan điểm và bảo vệ quan điểm cá nhân dựa trên cách"",
    ""kỹ năng xử lý tình huống trong quản lý điều hành phát sinh tại các bộ phận của các doanh nghiệp du lịch và lữ hành | 4 |\n| CG2 Kỹ năng | CLO2.3 | Có khả năng thực hiện các công việc thực tế do các cơ sở thực tập phân công | 4 |\n| CG2 Kỹ năng | CLO2.4 | Có khả năng biểu đạt, trình bày, thuyết trình khóa luận tốt nghiệp thực tập trước hội đồng | 4 |\n| CG3 NLTC&TCTN | CLO 3.1 | Thể hiện sự say mê, ham tìm hiểu các vấn đề lý thuyết cũng như các vấn đề thực tiễn tại doanh nghiệp | 3 |\n| CG3 NLTC&TCTN | CLO 3.2 | Rèn luyện thái độ nghiêm túc, chủ động cầu thị và độc lập trong nghiên cứu | 3 |\n| CG3 NLTC&TCTN | CLO 3.3 | Có ý thức kỷ luật tốt, tuân thủ pháp luật và đạo đức nghề nghiệp | 3 |\n\n7. ĐÁ"",
    ""u của nhà quản trị. Học phần được hình thành từ nhiều kỹ năng, được tập hợp theo 3 nhóm: kỹ năng cá nhân, kỹ năng quan hệ con người, kỹ năng chuyên môn trong quản trị điều hành doanh nghiệp. Tùy theo chuyên ngành học mà sinh viên sẽ được chọn một số kỹ năng tương thích để nghiên cứu, thảo luận và trao đổi.\n\n Nội dung chính:\n\nGiới thiệu chung về nhà quản trị và kỹ năng quản trị\n\nKỹ năng quản lý thời gian và quản trị stress\n\nKỹ năng giao tiếp và đàm phán\n\nKỹ năng giải quyết vấn đề và ra quyết định\n\nKỹ năng lập kế hoạch kinh doanh\n\nKỹ năng xây dựng các yếu tố thương hiệu\n\nTÀI LIỆU HỌC TẬP (Leaning Resources: Course Books, Reference Books, and Softwares)\n\nGiáo trình\n\n [1] Ngô Kim Thanh, Nguyễn T""",multi_hop
q003,"Anh chị ơi cho em hỏi học ngành Bất động sản là mình sẽ được đào tạo về làm môi giới hay làm quy hoạch, đầu tư dự án vậy ạ?","Ngành Bất động sản (7340116) tại NEU đào tạo toàn diện, không chỉ giới hạn ở môi giới mà bao gồm cả:
- Kinh doanh và môi giới bất động sản
- Đầu tư và phát triển dự án bất động sản
- Thẩm định giá bất động sản
- Quản lý tòa nhà và khu đô thị
- Pháp luật về đất đai và nhà ở
Đây là ngành khá đặc thù và cơ hội việc làm rộng trong bối cảnh thị trường BĐS Việt Nam đang phát triển.","    ""5b4b3cf8-0c71-4eb6-98a5-378069157bca"",
    ""a54931e6-d525-4582-86d6-6e14e57faebc"",
    ""dae364b7-81bd-4c25-ae3d-df7d54571a79"",
    ""fa35482a-5d2e-4818-a61e-1466ea4133e3"",
    ""f7ba0251-46f5-4f59-a8ca-e1588aa76918"",
    ""0aaf2df9-fa7b-4edc-9535-7a8859269a3f"",
    ""e1b872b6-982e-4857-83ab-04dddf615a49"",
    ""f2e05453-5b71-4cac-9519-3242e77a472f""","""văn phòng môi giới; kỹ năng môi giới mua - bán; thuê - cho thuê bất động sản như: kỹ năng đàm phán, kỹ năng thu hút thuyết phục, kỹ năng giới thiệu bất động sản... \n\nĐồng thời môn học cũng trang bị cho học viên những kiến thức về nghiệp vụ tư vấn bất động sản, xây dựng các tình huống thực tế nhằm tạo lập cơ hội rèn luyện nâng cao kỹ năng tác nghiệp. Môn học còn cung cấp kiến thức về marketing bất động sản cho các cán bộ quản lý, kinh doanh trong lĩnh vực bất động sản. Kiến thức của môn học sẽ là nền tảng cơ sở, hỗ trợ cho việc hoàn thiện kiến thức các môn học chuyên ngành khác như quản lý bất động sản, định giá bất động sản, kinh doanh bất động sản, đầu tư tài chính bất động sản.\n\n4. TÀI LI"",
    ""à nền tảng cơ sở, hỗ trợ cho việc hoàn thiện kiến thức các môn học chuyên ngành khác như quản lý bất động sản, định giá bất động sản, kinh doanh bất động sản, đầu tư tài chính bất động sản.\n\n4. TÀI LIỆU THAM KHẢO (LEARNING RESOURCES: COURSE BOOKS, REFERENCE BOOKS, AND SOFTWARES)\n\nGiáo trình \n\n1. PGS TS Nguyễn Minh Ngọc & TS Nguyễn Thị Hải Yến, Giáo trình Môi giới bất động sản, Nhà xuất bản Đại học Kinh tế Quốc dân.\n\nTài liệu khác\n\n2. Gary Keller, Dave Jenks., Jay Papasan (2013), Triệu phú môi giới bất động sản, Nhà xuất bản Lao Động.\n\n3. Henry Huỳnh Anh Dũng (2015), Bậc thầy môi giới địa ốc, Nhà xuất bản Tổng hợp TP. HCM.\n\n5. MỤC TIÊU HỌC PHẦN (COURSE GOALS)\n\nBảng 1. Mục tiêu học phần\n\n| TT"",
    ""angtrung@neu.edu.vn |\n| 3 | TS Phạm Lan Hương | 0904100151 | huongpl@neu.edu.vn |\n\n3. MÔ TẢ HỌC PHẦN (COURSE DESCRIPTIONS)\n\nHọc phần Môi giới Bất động sản là môn học chuyên ngành, nằm trong khung chương trình đào tạo cử nhân bất động sản. Môn học trang bị cho học viên những kiến thức khoa học và kỹ năng nghiệp vụ cơ bản về môi giới bất động sản, tư vấn trong kinh doanh bất động sản. Môn học được thiết kế với các phần nội dung giúp cho người học hình thành các kỹ năng tạo lập, tổ chức và quản trị văn phòng môi giới; kỹ năng môi giới mua - bán; thuê - cho thuê bất động sản như: kỹ năng đàm phán, kỹ năng thu hút thuyết phục, kỹ năng giới thiệu bất động sản... \n\nĐồng thời môn học cũng trang bị c"",
    ""iến thức tổng quan vai trò môi giới bất động sản - Thảo luận về các ví dụ, câu hỏi, bài tập của seminar 1 - Hướng dẫn cách đọc và tìm hiểu môi giới doanh bất động sản. - Hướng dẫn phương thức làm bài tập nhóm | [1] Bài mở đầu [2] Slide bài lecture 1 | Giảng viên - Nhắc lại các kiến thức về đất đai, bất động sản - Hướng dẫn tìm hiểu hoạt động môi giới bất động sản - Hướng dẫn cách tìn dữ liệu về môi giới bất động sản. - Hướng dẫn cách tìm chủ đề, dữ liệu, tài liệu tham khảo cho bài tập nhóm - Xác định các nhóm làm bài tập Sinh viên - Đọc tài liệu trước - Theo dõi các bước thực hành tìm hiểu tài liệu về dự án. - Phân nhóm làm bài tập nhóm | - Điểm danh - Trả lời câu hỏi trong slide seminar 1 -"",
    ""ường bất động sản |\n\n2. KHOA/VIỆN QUẢN LÝ VÀ GIẢNG VIÊN GIẢNG DẠY \n\n(Management Faculty and Teachers)\n\nKhoa/Viện quản lý học phần: Khoa Bất động sản và Kinh tế tài nguyên\n\nĐịa chỉ: Phòng 703, Nhà A1, Trường ĐH Kinh tế Quốc dân\n\nGiảng viên giảng dạy học phần: \n\n| TT | Họ và tên | Số điện thoại | Email |\n| ---- | ------------------------- | ------------- | --------------------- |\n| 1 | TS Nguyễn Thị Tùng Phương | 0914799996 | tungphuong@neu.edu.vn |\n| 2 | ThS Nguyễn Thắng Trung | 098 565 6569 | thangtrung@neu.edu.vn |\n| 3 | TS Phạm Lan Hương | 0904100151 | huongpl@neu.edu.vn |\n\n3. MÔ TẢ HỌC PHẦN (COURSE DESCRIPTIONS)\n\nHọc phần Môi giới Bất động sản là môn học chuyên ngành, nằm trong khung chươ"",
    ""bất động sản 5.2. Tổ chức và quản trị doanh nghiệp môi giới bất động sản | [1] Chương 4, mục 4.1 đến 4.2 [2] Slide bài lecture 5 [4] Chapter 4 [5] Chapter 5 | Giảng viên - Giảng lý thuyết theo nội dung slide lecture 5 - Giới thiệu ví dụ trong slide - Hướng dẫn đọc giáo trình chương 5, tài liệu tham khảo - Yêu cầu sinh viên xem trước ví dụ, câu hỏi, dành cho seminar 5 Sinh viên - Đọc trước các tài liệu - Xem trước các ví dụ, làm bài tập được yêu cầu - Chuẩn bị thảo luận cho việc đặt biến giả với bài tập nhóm | | CLO1- |\n| 15 | Seminar 5 - Hướng về bản chất khởi nghiệp môi giới bất động sản - Hướng dẫn chi tiết nghiệp vụ trong tổ chức quản trị môi giới bất động sản -Thảo luận về nguyên tắc đàm"",
    ""c | CLO1.1 | Hiểu được khái niệm, kiến thức cơ bản về hoạt động môi giới bất động sản. Hiểu rõ và phân tích được đặc trưng, vai trò và yêu cầu chuyên môn của nghề môi giới bất động sản. Nắm vững những nghiệp vụ chuyên môn trong hoạt động môi giới bất động sản | 3 |\n| CG1 Kiến thức | CLO1.2 | Sinh viên có thu thập thông tin, phân tích, đánh giá căn bản các đối tượng tham gia thương vụ; để thực hiện các nghiệp vụ môi giới bất động sản; có khả năng tổ chức triển khai thực hiện một thương vụ môi giới bất động sản, | 3 |\n| CG1 Kiến thức | CLO1.3 | Vận dụng phân tích một số thương vụ môi giới bất động sản, đánh giá và vận dụng triển khai thực hiện trong thực tế. | 3 |\n| CG2 Kỹ năng | CLO2.1 | Phát"",
    ""môi giới bất động sản một số phân khúc bất động sản (bất động sản dự án; bất động thổ cư; bất động sản khu công nghiệp và các loại bất động sản khác) - Thảo luận về các tình huống - Thảo luận về chủ đề bài tập nhóm khi có nhóm đề xuất | [1] Chương 1 [2] Slide bài seminar 2 [3] Bài thực hành 3 | Giảng viên - Hướng dẫn tìm hiểu các thương vụ môi giới bất động sản. - Hướng dẫn trả lời câu hỏi - Tình huống phân tích quy trình môi giới, thương vụ môi giới cụ thể. - Hướng dẫn tìm chủ đề, số liệu cho bài tập lớn - Bình luận về chủ đề của nhóm đã đề xuất Sinh viên - Đọc tài liệu trước - Theo dõi các bước thực hành - Đề xuất chủ đề bài tập lớn - Tham gia thảo luận về chủ đề bài tập lớn của nhóm mình""
  ",single_hop
q004,Học ngành công nghệ thông tin ra trường làm gì?,"Học ngành CÔNG NGHỆ THÔNG TIN (mã ngành: 7480201) ra trường, bạn có thể làm các nghề nghiệp như:
- LẬP TRÌNH VIÊN
- KỸ SƯ PHẦN MỀM
- KIỂM THỬ TỰ ĐỘNG
- CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU
- KỸ SƯ CẦU NỐI
- LẬP TRÌNH GAME
- TESTER","""703868d8-bfe9-404b-a06c-ed013ec8e94c"",
    ""8d798301-6515-4f47-8fa6-47ecf412275a"",

  ""1f5d96db-d00a-4166-b7f8-9228ee194338"",
    ""80abb885-4ebb-4242-b1a2-74fd79979eae""","""--------------------------------------------------------------------------------- | ------------ |\n| [1] | [2] | [3] |\n| CG1 | Học phần cung cấp kiến thức sâu rộng về ngành Công nghệ thông tin, từ việc nắm vững các nguyên lý cơ bản đến hiểu biết sâu sắc về các công nghệ tiên tiến nhất. Thông qua việc nghiên cứu và thực hiện khoá luận tốt nghiệp, sinh viên sẽ phát triển kiến thức, hiểu biết sâu sắc về các ngôn ngữ lập trình, cơ sở dữ liệu, mạng máy tính và các khái niệm quan trọng khác trong lĩnh vực này. Sinh viên sẽ có cơ hội áp dụng những kiến thức họ đã học vào việc giải quyết các vấn đề thực tế, từ việc phát triển ứng dụng cho đến việc tối ưu hóa hệ thống. | |\n| CG2 | Học phần khuyến khí"",
    ""trong khối kiến thức ngành của ngành Công nghệ thông tin. Học phần bao gồm các nội dung tổng quan về phân tích thiết kế hệ thống và phân tích thiết kế hướng đối tượng: Hệ thống, hệ thống thông tin, vòng đời phát triển hệ thống, đội ngũ phát triển hệ thống, phương pháp phát triển hệ thống, quy trình phát triển phần mềm, ngôn ngữ mô hình hóa thống nhất UML; Khảo sát hệ thống và xác lập dự án phát triển hệ thống; Mô hình hóa yêu cầu nghiệp vụ, yêu cầu chức năng, mô hình hóa cấu trúc và hành vi của hệ thống; Thiết kế kiến trúc, thiết kế giao diện người dùng và thiết kế lớp và dữ liệu. \n\nHọc phần cũng giúp sinh viên rèn luyện kỹ năng tư duy, khả năng tự tìm hiểu các kiến thức liên quan đến phân t"",
""nghệ thông tin\n\nĐịa chỉ: P.1310-1312, Tòa nhà A1, Trường Đại học KTQD, 207 Giải Phóng, Hai Bà Trưng, Hà Nội\n\nGiảng viên giảng dạy học phần: \n\n| STT | Họ và tên | Email |\n| ---- | ----------------------- | ----------------- |\n| 1 | TS. Phạm Minh Hoàn | hoanpm@neu.edu.vn |\n| 2 | ThS. Tống Thị Minh Ngọc | ngoctm@neu.edu.vn |\n\n3. MÔ TẢ HỌC PHẦN (Course Descriptions)\n\n Học phần trang bị cho người học kiến thức cơ bản về công nghệ đa phương tiện cũng như các hướng nghiên cứu và ứng dụng của lĩnh vực này. Người học nắm được kỹ thuật biến đổi âm thanh, tiếng nói, trích chọn đặc trưng của âm thanh và đảm bảo chất lượng truyền âm thanh. Người học cũng nắm được các kỹ thuật nén ảnh và dữ liệu video, đả"",
    ""à học phần bắt buộc nằm trong khối kiến thức ngành của ngành Công nghệ thông tin. Học phần bao gồm các nội dung tổng quan về mạng máy tính và truyền số liệu: kiến trúc mạng, các giao thức truyền thông; Các kỹ thuật truyền số liệu: các phương pháp mã hóa điều chế, phát hiện lỗi và sửa lỗi, điều khiển truyền số liệu; Các yếu tố cơ bản và các thiết bị mạng LAN; Các kỹ thuật mạng diện rộng; Giao thức TCP/IP và các dịch vụ mạng Internet phổ biến. \n\n Học phần cũng giúp sinh viên rèn luyện kỹ năng tư duy, khả năng tự tìm hiểu các kiến thức liên quan đến hệ thống mạng máy tính. Sinh viên có năng lực làm việc độc lập và làm việc theo nhóm. Sinh viên có thể vận dụng các kiến thức đã học để giải quyết""",single_hop
q005,Lập trình game là tự học hay theo chuyên ngành nào thế có phải công nghệ đa phương tiện k ạ,"Lập trình game có thể được học qua các chuyên ngành như công nghệ thông tin (mã ngành: 7480201), khoa học máy tính (mã ngành: 7480101), công nghệ đa phương tiện, máy tính & khoa học thông tin, và mỹ thuật đa phương tiện.","""c01c9171-0145-4c5f-9b1a-3e4903f98984"",
    ""08a57b2f-948b-4c7a-9cf0-8c613bbb9eda"",
  ""dc2a564f-7a8c-49ef-9c0f-3552e5d216f3"",""56932ed9-34b4-4ad5-8cda-e25a3c6e516c""","""trước của học phần Lập trình hướng đối tượng và Lập trình nâng cao. Học phần này cung cấp những kiến thức cơ bản để làm quen với phương pháp, tư duy lập trình và giải các bài toán trên máy tính cụ thể là: các cấu trúc lập trình căn bản; Một số giải thuật cơ bản; Các cấu trúc dữ liệu,… Các ví dụ được minh họa bằng ngôn ngữ lập trình C.\n\n Học phần rèn luyện cho người học có kỹ năng lập trình cơ bản trên máy tính thông qua ngôn ngữ lập trình C. Đồng thời rèn luyện khả năng nghiên cứu, phân tích, thiết kế các môđun chức năng. Ngoài ra học phần trang bị cho người học kiến thức, kỹ năng và năng lực cần thiết để vận dụng tư duy và kiến thức đã học trong việc nghiên cứu các môn lập trình tiếp theo"",
    ""ngct@neu.edu.vn |\n| 3 | TS. Nguyễn Thanh Hương | huongnt_cntt@neu.edu.vn |\n| 4 | TS. Phạm Xuân Lâm | lampx@neu.edu.vn |\n| 5 | TS. Tống Thị Hảo Tâm | tamtth@neu.edu.vn |\n| 6 | TS. Lê Thị Hoài Thu | thulh@neu.edu.vn |\n| 7 | ThS. Trần Thị Mỹ Diệp | diepttm@neu.edu.vn |\n| 8 | ThS. Phạm Thảo | thaop@neu.edu.vn |\n\n3. MÔ TẢ HỌC PHẦN (COURSE DESCRIPTIONS)\n\n Học phần nằm trong khối kiến thức cơ sở ngành của ngành Công nghệ thông tin, Khoa học máy tính, Hệ thống thông tin,…. Học phần cũng là điều kiện học trước của học phần Lập trình hướng đối tượng và Lập trình nâng cao. Học phần này cung cấp những kiến thức cơ bản để làm quen với phương pháp, tư duy lập trình và giải các bài toán trên máy tính cụ th"",
   ""thức về công nghệ đa phương tiện bằng cách làm việc độc lập cũng như theo nhóm. Người học có khả năng ứng dụng công nghệ đa phương tiện để xây dựng một ứng dụng thực tế\n\nNội dung chính:\n\n - Khái niệm đa phương tiện\n\n - Khai thác dữ liệu trên Internet\n\n - Âm thanh và công nghệ xử lý âm thanh\n\n - Hình ảnh và công nghệ xử lý hình ảnh\n\n - Video và công nghệ xử lý video\n\n - Cơ sở dữ liệu đa phương tiện\n\n - Thực tế ảo\n\n4. TÀI LIỆU HỌC TẬP (Learning resources: Course Books, Reference Books, and Softwares)\n\n4.1. Giáo trình\n\n[1] Syed Mahbubu Rahman (2008) Multimedia Technologies Concepts Methodologies Tools and Applications, Minnesota State University.\n\n[2] David Salomon (2004), Data compression, Sp"",""hay Java để minh họa)\n\n Học phần cũng nhằm rèn luyện kỹ năng tư duy, khả năng tự tìm hiểu các kiến thức về phương pháp lập trình hướng đối tượng bằng cách làm việc độc lập cũng như theo nhóm. Người học có kỹ năng xây dựng một ứng dụng thực tế bằng phương pháp lập trình hướng đối tượng.\n\nNội dung chính:\n\n - Các khái niệm cơ bản về lập trình hướng đối tượng\n\n - Lớp và đối tượng\n\n - Tính kế thừa\n\n - Tính đa hình\n\n - Dòng dữ liệu vào ra\n\n - Xử lý ngoại lệ\n\n \n\n4. TÀI LIỆU HỌC TẬP (Learning resources: Course Books, Reference Books, and Softwares)\n\n4.1. Giáo trình\n\n[1] Nguyễn Thanh Thủy (2017) Lập trình hướng đối tượng với C++, Nhà xuất bản Khoa Học và Kỹ Thuật.\n\n[2] Phạm Văn Ất và Lê Trường Thông""
  ",multi_hop
q006,kinh tế vi mô khác gì vĩ mô,"Kinh tế vi mô và kinh tế vĩ mô là hai lĩnh vực khác nhau trong kinh tế học.
- Kinh tế vi mô tập trung vào hành vi của các cá nhân và doanh nghiệp, nghiên cứu các quyết định của họ trong việc phân bổ tài nguyên, sản xuất và tiêu dùng. Nó bao gồm các khái niệm như cung và cầu, cấu trúc thị trường, và quyết định của doanh nghiệp.
- Kinh tế vĩ mô nghiên cứu các hiện tượng kinh tế tổng thể, như tăng trưởng kinh tế, lạm phát, thất nghiệp và chính sách kinh tế của chính phủ. Nó xem xét các yếu tố ảnh hưởng đến nền kinh tế quốc gia hoặc toàn cầu.
Tóm lại, kinh tế vi mô tập trung vào các yếu tố nhỏ hơn trong nền kinh tế, trong khi kinh tế vĩ mô xem xét các vấn đề lớn hơn và tổng thể hơn.",,,multi_hop
q007,Mn cho em xin ý kiến ngành khoa học máy tính và công nghệ thông tin với ngành nào thì cơ hội tìm việc làm cao hơn ạ,"Ngành khoa học máy tính (7480101) có cơ hội nghề nghiệp cao hơn so với ngành công nghệ thông tin (7480201). Cụ thể, khoa học máy tính dẫn đến các nghề như lập trình viên, kỹ sư phần mềm và kiểm thử tự động, trong khi công nghệ thông tin cũng có các nghề tương tự nhưng ít đa dạng hơn.
Về môn học, khoa học máy tính cung cấp các môn như nhập môn công nghệ thông tin (CNTT1116), lập trình hướng đối tượng (CNTT1131), và phân tích và thiết kế hệ thống (CNTT1117). Những môn học này giúp sinh viên trang bị kiến thức và kỹ năng cần thiết cho các vị trí công việc trong lĩnh vực công nghệ.
Nếu bạn đang cân nhắc giữa hai ngành này, khoa học máy tính có vẻ là lựa chọn tốt hơn về mặt cơ hội nghề nghiệp.",,,multi_hop
q008,Cho em hỏi giờ em muốn làm data engineer thì cẩn những gì vậy ạ với nghề đó có nhiều cơ hội kh ạ,"Để trở thành một data engineer, bạn cần trang bị một số kỹ năng quan trọng như:
Kỹ năng giao tiếp.
Hiểu rõ về các mô hình dữ liệu, thuật toán, kỹ thuật chuyển đổi dữ liệu.
Có kinh nghiệm liên quan đến các giải pháp BI và ETL.
Có kinh nghiệm liên quan đến kho dữ liệu, các công cụ phân tích.
Có kiến thức, sử dụng được những công cụ chuyên dụng như hadoop, kafka.
Cần biết sử dụng các công cụ liên quan đến thiết kế, xây dựng kho dữ liệu.
Cần biết sử dụng sql.
Kỹ năng phân tích logic.
Kỹ năng thiết kế và trình bày báo cáo.
Về cơ hội nghề nghiệp, ngành data engineer hiện đang có nhiều cơ hội phát triển do nhu cầu ngày càng tăng trong việc xử lý và phân tích dữ liệu trong các tổ chức.",,,multi_hop
q009,Em mạnh về phân tích dữ liệu nhưng không thích lập trình thì phù hợp nghề nào?,"Nếu bạn mạnh về phân tích dữ liệu nhưng không thích lập trình, bạn có thể xem xét các nghề nghiệp như:
Chuyên viên dữ liệu - nghề này yêu cầu kỹ năng phân tích dữ liệu.
Data analyst - cũng là một lựa chọn phù hợp với kỹ năng phân tích dữ liệu.
Kế toán quản trị - nghề này yêu cầu sử dụng thành thạo các phần mềm kế toán và phần mềm phân tích dữ liệu
Ngoài ra, bạn có thể tham khảo môn học phân tích dữ liệu (mã môn: TKKT1124) để nâng cao kiến thức của mình trong lĩnh vực này.",,,global
